plan_id,dept_id,crs_code,prereq_code,crs_group
202102,0,HUM117,null,Uni.Comp
202102,0,HUM118,null,Uni.Comp
202102,0,HUM119,null,Uni.Comp
202102,0,HUM120,null,Uni.Comp
202102,0,HUM121,null,Uni.Comp
202102,0,PS102,null,Uni.Comp
202102,0,MILT100A,null,Uni.Comp
202102,1,CS111,null,Fac.Comp
202102,1,CS111L,CS111L,Fac.Comp
202102,10,MATH101,null,Fac.Comp
202102,2,CIS101,null,Fac.Comp
202102,2,CIS260,"CS210,CIS101",Fac.Comp
202102,11,STAT111,null,Fac.Comp
202102,3,BIT221,CYS230,Fac.Comp
202102,3,BIT381,CIS260,Fac.Comp
202102,2,CIS214,"CS210 ,CIS101",Dept.Comp
202102,2,CIS240,"CS210 ,CIS102",Dept.Comp
202102,2,CIS260L,CIS260,Dept.Comp
202102,2,CIS265,CIS260,Dept.Comp
202102,2,CIS340,CIS240,Dept.Comp
202102,2,CIS340L,CIS340,Dept.Comp
202102,2,CIS342,"CIS240 ,CIS260",Dept.Comp
202102,2,CIS360,CIS260,Dept.Comp
202102,2,CIS367,CIS260,Dept.Comp
202102,2,CIS382,"CIS260, CS332",Dept.Comp
202102,2,CIS440,CIS340L,Dept.Comp
202102,2,CIS464,CIS260,Dept.Comp
202102,2,CIS467A,CIS260,Dept.Comp
202102,2,CIS467AL,CIS467A,Dept.Comp
202102,2,CIS468,"CIS467A , CIS360",Dept.Comp
202102,2,CIS499,Complete 98 CHs,Dept.Comp
202102,2,CIS227,CS210L,Dept.Elect1
202102,2,CIS241,CIS240,Dept.Elect1
202102,2,CIS256,CS250,Dept.Elect1
202102,2,CIS370,"CS210, CS332",Dept.Elect1
202102,2,CIS380,CS360,Dept.Elect1
202102,2,CIS441,CIS440,Dept.Elect1
202102,2,CIS472,CIS467A,Dept.Elect1
202102,2,CIS480,"CS332, BIT381",Dept.Elect1
202102,2,CIS492,CIS360,Dept.Elect1
202102,2,CIS497,null,Dept.Elect1
202102,2,CIS498,98,Dept.Elect1
202102,1,CS281,"CS101, CS210",Dept.Elect2
202102,1,CS367,CS351,Dept.Elect2
202102,3,BIT222,CS101,Dept.Elect2
202102,3,BIT481,BIT381,Dept.Elect2
202102,10,MATH241,MATH101,Dept.Elect3
202102,10,MATH322,CS142,Dept.Elect3
202102,11,STAT101,null,Dept.Elect3